title,author,url
"Journal of the Zeiss Historica Society, Volume 30, Number 1, Spring 2008","Scott, John T. (editor)",www.abebooks.com/servlet/BookDetailsPL?bi=30774747330&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_21-_-bdp
A History of Photography with the Light Microscope,"Bracegirdle, Brian",www.abebooks.com/servlet/BookDetailsPL?bi=32225514253&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_22-_-bdp
"Study, Measure, Experiment: Stories of Scientific Instruments at Dartmouth College","Pantalony, David;Manasek, Francis J.;Kremer, Richard L.",www.abebooks.com/servlet/BookDetailsPL?bi=30616013916&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_23-_-bdp
"Journal of the Zeiss Historica Society, Volume 37, Number 1, Spring 2015","Scott, John T. (editor)",www.abebooks.com/servlet/BookDetailsPL?bi=30619487705&cm_sp=collections-_-1b3lLNR658bBtnq5uea8kR_item_1_24-_-bdp
Practical Candleburning Rituals: Spells and Rituals for Every Purpose (Llewellyn's Practical Magi...,Raymond Buckland,www.abebooks.com/servlet/BookDetailsPL?bi=31758006524&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_1-_-bdp
Cunningham's Encyclopedia of Magical Herbs [2020 Reprint],Scott Cunningham,www.abebooks.com/servlet/BookDetailsPL?bi=32290951623&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_2-_-bdp
Cunningham's Magical Sampler: Collected Writings and Spells,"Scott Cunningham, David Harrington, Marilee Bigelow, Greg...",www.abebooks.com/servlet/BookDetailsPL?bi=32363152097&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_3-_-bdp
"Mabon: Rituals, Recipes, and Lore for the Autumn Equinox (Llewellyn's Sabbat Essentials)","Llewellyn, Diana Rajchel",www.abebooks.com/servlet/BookDetailsPL?bi=31693735212&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_4-_-bdp
"The Complete Book of Incense, Oils & Brews",Scott Cunningham,www.abebooks.com/servlet/BookDetailsPL?bi=32383318529&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_5-_-bdp
Magical Herbalism: The Secret Craft of the Wise (Llewellyn's Practical Magick Series),Scott Cunningham,www.abebooks.com/servlet/BookDetailsPL?bi=32311801562&cm_sp=collections-_-6jzYs2AhdTM0JGx4dKL8L0_item_1_6-_-bdp
